name,age,ast,ast,crdr,crdy,gls,gls,min,mp,nation,pk,pos,starts,team,xag,xag,xg,xg
Brennan Johnson,24-117,0.0,0.0,0.0,1.0,2.0,0.82,220.0,4,wls WAL,0.0,FW,3,Tottenham-Hotspur,0.2,0.07,0.9,0.37
Rodrigo Bentancur,28-084,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3,uy URU,0.0,MF,2,Tottenham-Hotspur,0.0,0.01,0.0,0.0
Lucas Bergvall,19-227,1.0,0.45,0.0,0.0,1.0,0.45,200.0,4,se SWE,0.0,MF,2,Tottenham-Hotspur,0.3,0.11,0.3,0.13
Mathys Tel,20-143,0.0,0.0,0.0,0.0,0.0,0.0,99.0,3,fr FRA,0.0,FW,1,Tottenham-Hotspur,0.0,0.0,0.1,0.06
Archie Gray,19-189,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1,eng ENG,0.0,MF,1,Tottenham-Hotspur,0.0,0.0,0.0,0.0
Xavi Simons,22-149,1.0,1.29,0.0,0.0,0.0,0.0,70.0,1,nl NED,0.0,FW,1,Tottenham-Hotspur,0.1,0.16,0.0,0.04
Wilson Odobert,20-293,0.0,0.0,0.0,0.0,0.0,0.0,73.0,4,fr FRA,0.0,"FW,MF",0,Tottenham-Hotspur,0.1,0.16,0.3,0.37
Destiny Udogie,22-293,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2,it ITA,0.0,DF,0,Tottenham-Hotspur,0.0,0.07,0.0,0.05
Dominic Solanke,28-003,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2,eng ENG,0.0,FW,0,Tottenham-Hotspur,0.0,0.0,0.2,0.57
Kevin Danso,26-363,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2,at AUT,0.0,DF,0,Tottenham-Hotspur,0.0,0.0,0.0,0.0
Ben Davies,32-146,,,,,,,,0,wls WAL,,"DF,MF",0,Tottenham-Hotspur,,,,
Antonín Kinský,22-188,,,,,,,,0,cz CZE,,GK,0,Tottenham-Hotspur,,,,
Randal Kolo Muani,26-286,,,,,,,,0,fr FRA,,"FW,MF",0,Tottenham-Hotspur,,,,
Manor Solomon,26-055,,,,,,,,0,il ISR,,"FW,MF",0,Tottenham-Hotspur,,,,
Luka Vušković,18-205,,,,,,,,0,hr CRO,,DF,0,Tottenham-Hotspur,,,,
Squad Total,25.5,7.0,1.75,0.0,7.0,8.0,2.0,360.0,4,,0.0,,44,Tottenham-Hotspur,3.8,0.95,4.8,1.21
Opponent Total,26.4,1.0,0.25,1.0,5.0,1.0,0.25,360.0,4,,0.0,,44,Tottenham-Hotspur,4.0,1.01,4.6,1.15
Đorđe Petrović,25-344,0.0,0.0,0.0,1.0,0.0,0.0,360.0,4,rs SRB,0.0,GK,4,Bournemouth,0.0,0.0,0.0,0.0
Antoine Semenyo,25-253,2.0,0.5,0.0,1.0,3.0,0.75,360.0,4,gh GHA,1.0,"FW,MF",4,Bournemouth,0.4,0.1,2.7,0.67
Marcos Senesi,28-130,1.0,0.25,0.0,1.0,0.0,0.0,360.0,4,ar ARG,0.0,DF,4,Bournemouth,0.2,0.05,0.1,0.03
Adrien Truffert,23-301,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,fr FRA,0.0,DF,4,Bournemouth,0.5,0.14,0.0,0.0
Tyler Adams,26-215,0.0,0.0,0.0,3.0,0.0,0.0,356.0,4,us USA,0.0,MF,4,Bournemouth,0.0,0.01,0.1,0.01
Evanilson,25-346,0.0,0.0,0.0,1.0,1.0,0.26,346.0,4,br BRA,0.0,FW,4,Bournemouth,0.5,0.13,0.9,0.24
Marcus Tavernier,26-179,0.0,0.0,0.0,0.0,1.0,0.27,333.0,4,eng ENG,0.0,MF,4,Bournemouth,0.3,0.07,0.9,0.24
David Brooks,28-071,1.0,0.32,0.0,2.0,0.0,0.0,277.0,4,wls WAL,0.0,"MF,FW",4,Bournemouth,1.4,0.45,0.8,0.25
Alex Scott,22-027,0.0,0.0,0.0,1.0,1.0,0.34,266.0,4,eng ENG,0.0,MF,4,Bournemouth,0.3,0.09,0.2,0.06
Bafodé Diakité,24-254,0.0,0.0,0.0,0.0,0.0,0.0,270.0,3,fr FRA,0.0,DF,3,Bournemouth,0.0,0.01,0.0,0.0
Adam Smith,34-141,0.0,0.0,0.0,0.0,0.0,0.0,204.0,3,eng ENG,0.0,DF,3,Bournemouth,0.3,0.12,0.0,0.0
James Hill,23-250,0.0,0.0,0.0,1.0,0.0,0.0,155.0,4,eng ENG,0.0,DF,1,Bournemouth,0.0,0.0,0.1,0.07
Veljko Milosavljević,18-081,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1,rs SRB,0.0,DF,1,Bournemouth,0.1,0.06,0.0,0.0
Amine Adli,25-130,0.0,0.0,0.0,0.0,0.0,0.0,76.0,3,ma MAR,0.0,"MF,FW",0,Bournemouth,0.1,0.1,0.0,0.05
Ryan Christie,30-207,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2,sct SCO,0.0,MF,0,Bournemouth,0.0,0.04,0.1,0.1
Justin Kluivert,26-135,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3,nl NED,0.0,"MF,FW",0,Bournemouth,0.2,0.33,0.2,0.39
Hamed Junior Traorè,25-213,1.0,5.29,0.0,0.0,0.0,0.0,17.0,1,ci CIV,0.0,MF,0,Bournemouth,0.2,1.1,0.0,0.0
Eli Junior Kroupi,19-086,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3,fr FRA,0.0,"FW,MF",0,Bournemouth,0.0,0.0,0.0,0.0
Ben Winterburn,21-013,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,eng ENG,0.0,MF,0,Bournemouth,0.0,0.0,0.0,0.0
Lewis Cook,28-226,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,eng ENG,0.0,MF,0,Bournemouth,0.0,0.0,0.0,0.0
Álex Jiménez,20-132,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1,es ESP,0.0,DF,0,Bournemouth,0.0,0.0,0.0,0.0
Julio Soler,20-213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,ar ARG,0.0,FW,0,Bournemouth,0.0,0.0,0.0,0.0
Julian Araujo,24-035,,,,,,,,0,mx MEX,,DF,0,Bournemouth,,,,
Philip Billing,29-098,,,,,,,,0,dk DEN,,MF,0,Bournemouth,,,,
Will Dennis,25-069,,,,,,,,0,eng ENG,,GK,0,Bournemouth,,,,
Ben Doak,19-310,,,,,,,,0,sct SCO,,"FW,MF",0,Bournemouth,,,,
Romain Faivre,27-065,,,,,,,,0,fr FRA,,"FW,MF",0,Bournemouth,,,,
Remy Rees-Dottin,19-195,,,,,,,,0,eng ENG,,FW,0,Bournemouth,,,,
Squad Total,26.1,5.0,1.25,0.0,12.0,6.0,1.5,360.0,4,,1.0,,44,Bournemouth,4.5,1.11,6.0,1.49
Opponent Total,27.1,4.0,1.0,1.0,11.0,5.0,1.25,360.0,4,,0.0,,44,Bournemouth,2.9,0.73,3.5,0.86
Moisés Caicedo,23-319,0.0,0.0,0.0,1.0,2.0,0.5,360.0,4,ec ECU,0.0,MF,4,Chelsea,0.0,0.0,0.4,0.1
Robert Sánchez,27-303,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,es ESP,0.0,GK,4,Chelsea,0.0,0.0,0.0,0.0
Pedro Neto,25-192,0.0,0.0,0.0,0.0,1.0,0.26,350.0,4,pt POR,0.0,FW,4,Chelsea,0.9,0.23,0.5,0.14
Enzo Fernández,24-243,1.0,0.26,0.0,0.0,2.0,0.52,348.0,4,ar ARG,1.0,MF,4,Chelsea,0.7,0.19,1.9,0.5
Trevoh Chalobah,26-074,0.0,0.0,0.0,0.0,1.0,0.27,338.0,4,eng ENG,0.0,DF,4,Chelsea,0.0,0.0,0.6,0.15
João Pedro,23-356,3.0,0.82,0.0,0.0,2.0,0.55,330.0,4,br BRA,0.0,"FW,MF",4,Chelsea,1.2,0.33,1.5,0.41
Marc Cucurella,27-057,1.0,0.31,0.0,0.0,0.0,0.0,293.0,4,es ESP,0.0,DF,3,Chelsea,0.8,0.24,0.2,0.05
Tosin Adarabioyo,27-358,0.0,0.0,0.0,0.0,0.0,0.0,270.0,3,eng ENG,0.0,DF,3,Chelsea,0.0,0.0,0.0,0.0
Estêvão Willian,18-146,1.0,0.5,0.0,1.0,0.0,0.0,180.0,3,br BRA,0.0,FW,2,Chelsea,0.9,0.44,1.0,0.49
Malo Gusto,22-121,0.0,0.0,0.0,0.0,0.0,0.0,170.0,3,fr FRA,0.0,DF,2,Chelsea,0.0,0.01,0.0,0.01
Jamie Gittens,21-040,0.0,0.0,0.0,0.0,0.0,0.0,145.0,4,eng ENG,0.0,FW,2,Chelsea,0.1,0.09,0.1,0.07
Liam Delap,22-221,0.0,0.0,0.0,0.0,0.0,0.0,92.0,3,eng ENG,0.0,FW,2,Chelsea,0.0,0.0,0.2,0.22
Reece James,25-283,0.0,0.0,0.0,1.0,0.0,0.0,155.0,4,eng ENG,0.0,DF,1,Chelsea,0.5,0.3,0.1,0.04
Cole Palmer,23-134,0.0,0.0,0.0,0.0,1.0,0.72,125.0,2,eng ENG,0.0,MF,1,Chelsea,0.0,0.02,0.8,0.58
Joshua Acheampong,19-135,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1,eng ENG,0.0,DF,1,Chelsea,0.0,0.0,0.1,0.09
Wesley Fofana,24-274,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2,fr FRA,0.0,DF,1,Chelsea,0.0,0.0,0.0,0.0
