name,nation,pos,age,mp,starts,min,gls,gls,ast,ast,pk,crdy,crdr,xg,xg,xag,xag,team
Destiny Udogie,it ITA,DF,22-293,2,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.07,Tottenham-Hotspur
Dominic Solanke,eng ENG,FW,28-003,2,0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.57,0.0,0.0,Tottenham-Hotspur
Kevin Danso,at AUT,DF,26-363,2,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Ben Davies,wls WAL,"DF,MF",32-146,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Antonín Kinský,cz CZE,GK,22-188,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Randal Kolo Muani,fr FRA,"FW,MF",26-286,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Manor Solomon,il ISR,"FW,MF",26-055,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Luka Vušković,hr CRO,DF,18-205,0,0,,,,,,,,,,,,,Tottenham-Hotspur
Đorđe Petrović,rs SRB,GK,25-344,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Antoine Semenyo,gh GHA,"FW,MF",25-253,4,4,360.0,3.0,0.75,2.0,0.5,1.0,1.0,0.0,2.7,0.67,0.4,0.1,Bournemouth
Marcos Senesi,ar ARG,DF,28-130,4,4,360.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.1,0.03,0.2,0.05,Bournemouth
Adrien Truffert,fr FRA,DF,23-301,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.14,Bournemouth
Tyler Adams,us USA,MF,26-215,4,4,356.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.01,0.0,0.01,Bournemouth
Evanilson,br BRA,FW,25-346,4,4,346.0,1.0,0.26,0.0,0.0,0.0,1.0,0.0,0.9,0.24,0.5,0.13,Bournemouth
